DATA,DOCUMENTO,LOCALIZADOR DO GASTO,FASE,ESPÉCIE,Favorecido,UF DO FAVORECIDO,UG,Unidade Orcamentária,Órgão,Órgão Superior,VALOR,Grupo de Despesa,Elemento de Despesa,Modalidade de Despesa,Plano Orçamentário,Autor Emenda,Unnamed: 17,cnpj,NOME FAVORECIDO,CÓDIGO MUNICÍPIO SIAFI,NOME MUNICÍPIO,UF,nome,uf,cod_ibge_7,id_municipio_tse,NM_UE,SG_UF,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DS_COMPOSICAO_COLIGACAO,NM_TIPO_ELEICAO,DT_ELEICAO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,DS_SITUACAO_CANDIDATO_PLEITO
01/12/2021,153173152532021OB824717,0001 - NACIONAL,Pagamento,Original,01.612.622/0001-33 - MUNICIPIO DE BETANIA DO PIAUI,PI,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"245.346,58",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,01612622000133,MUNICIPIO DE BETANIA DO PIAUI,278.0,BETANIA DO PIAUI,PI,BETANIA DO PIAUI,PI,2201739.0,12122,BETÂNIA DO PIAUÍ,PI,FABIO DE CARVALHO MACEDO,FABIO MACEDO,PP,PP,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
01/12/2021,153173152532021OB824718,0001 - NACIONAL,Pagamento,Original,12.367.892/0001-42 - MUNICIPIO DE CANAPI,AL,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"245.346,58",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,12367892000142,MUNICIPIO DE CANAPI,2731.0,CANAPI,AL,CANAPI,AL,2701605.0,27316,CANAPI,AL,VINÍCIUS JOSÉ MARIANO DE LIMA,VINÍCIUS FILHO DE ZÉ HERMES,PP,PP / DEM,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
08/12/2021,153173152532021NE651607,0001 - NACIONAL,Empenho,Não se aplica,46.211.694/0001-07 - MUNICIPIO DE IBIRAREMA,SP,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"0,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,46211694000107,MUNICIPIO DE IBIRAREMA,6491.0,IBIRAREMA,SP,IBIRAREMA,SP,3519501.0,64912,IBIRAREMA,SP,JOSE BENEDITO CAMACHO,CAMACHINHO,PSD,PSDB / PSL / PSD / DEM,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
09/12/2021,153173152532021NS059198,0001 - NACIONAL,Liquidação,Não se aplica,00.027.722/0001-30 - MUNICIPIO DE SANTA ISABEL,GO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,00027722000130,MUNICIPIO DE SANTA ISABEL,9689.0,SANTA ISABEL,GO,SANTA ISABEL,GO,5219357.0,96890,SANTA ISABEL,GO,CASSIA SILVIA CAIXETA DOURADO,CASSIA DOURADO,PSDB,PP / PDT / PSDB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
09/12/2021,153173152532021NS059216,0001 - NACIONAL,Liquidação,Não se aplica,06.553.937/0001-70 - MUNICIPIO DE OEIRAS,PI,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,06553937000170,MUNICIPIO DE OEIRAS,1139.0,OEIRAS,PI,OEIRAS,PI,2207009.0,11398,OEIRAS,PI,JOSE RAIMUNDO DE SÁ LOPES,ZÉ RAIMUNDO,PP,PP / PSB / PSDB / PSD / PDT,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
09/12/2021,153173152532021NS059218,0001 - NACIONAL,Liquidação,Não se aplica,06.553.937/0001-70 - MUNICIPIO DE OEIRAS,PI,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,06553937000170,MUNICIPIO DE OEIRAS,1139.0,OEIRAS,PI,OEIRAS,PI,2207009.0,11398,OEIRAS,PI,JOSE RAIMUNDO DE SÁ LOPES,ZÉ RAIMUNDO,PP,PP / PSB / PSDB / PSD / PDT,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
09/12/2021,153173152532021NS059269,0001 - NACIONAL,Liquidação,Não se aplica,01.612.616/0001-86 - MUNICIPIO DE TANQUE DO PIAUI,PI,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,01612616000186,MUNICIPIO DE TANQUE DO PIAUI,404.0,TANQUE DO PIAUI,PI,TANQUE DO PIAUI,PI,2210979.0,12521,TANQUE DO PIAUÍ,PI,NATANAEL SALES DE SOUSA,TIEL,PP,PSD / PP / PT,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
09/12/2021,153173152532021NS059273,0001 - NACIONAL,Liquidação,Não se aplica,06.553.937/0001-70 - MUNICIPIO DE OEIRAS,PI,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,06553937000170,MUNICIPIO DE OEIRAS,1139.0,OEIRAS,PI,OEIRAS,PI,2207009.0,11398,OEIRAS,PI,JOSE RAIMUNDO DE SÁ LOPES,ZÉ RAIMUNDO,PP,PP / PSB / PSDB / PSD / PDT,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
09/12/2021,153173152532021NS059274,0001 - NACIONAL,Liquidação,Não se aplica,06.553.937/0001-70 - MUNICIPIO DE OEIRAS,PI,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,06553937000170,MUNICIPIO DE OEIRAS,1139.0,OEIRAS,PI,OEIRAS,PI,2207009.0,11398,OEIRAS,PI,JOSE RAIMUNDO DE SÁ LOPES,ZÉ RAIMUNDO,PP,PP / PSB / PSDB / PSD / PDT,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
09/12/2021,153173152532021OB826234,0001 - NACIONAL,Pagamento,Original,00.027.722/0001-30 - MUNICIPIO DE SANTA ISABEL,GO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"8.394,19",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,00027722000130,MUNICIPIO DE SANTA ISABEL,9689.0,SANTA ISABEL,GO,SANTA ISABEL,GO,5219357.0,96890,SANTA ISABEL,GO,CASSIA SILVIA CAIXETA DOURADO,CASSIA DOURADO,PSDB,PP / PDT / PSDB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
09/12/2021,153173152532021OB826283,0001 - NACIONAL,Pagamento,Original,01.612.616/0001-86 - MUNICIPIO DE TANQUE DO PIAUI,PI,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"245.346,58",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,01612616000186,MUNICIPIO DE TANQUE DO PIAUI,404.0,TANQUE DO PIAUI,PI,TANQUE DO PIAUI,PI,2210979.0,12521,TANQUE DO PIAUÍ,PI,NATANAEL SALES DE SOUSA,TIEL,PP,PSD / PP / PT,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
10/12/2021,153173152532021NE652655,0001 - NACIONAL,Empenho,Não se aplica,06.477.822/0001-44 - MUNICIPIO DE BARAO DE GRAJAU,MA,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"200.000,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,06477822000144,MUNICIPIO DE BARAO DE GRAJAU,729.0,BARAO DE GRAJAU,MA,BARAO DE GRAJAU,MA,2101509.0,7293,BARÃO DE GRAJAÚ,MA,CLAUDIMÊ ARAUJO LIMA,CLAUDIMÊ,PSD,REPUBLICANOS / PSD / PT,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
10/12/2021,153173152532021NE652656,0001 - NACIONAL,Empenho,Não se aplica,06.222.616/0001-93 - MUNICIPIO DE HUMBERTO DE CAMPOS,MA,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"230.000,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,06222616000193,MUNICIPIO DE HUMBERTO DE CAMPOS,797.0,HUMBERTO DE CAMPOS,MA,HUMBERTO DE CAMPOS,MA,2105005.0,7978,HUMBERTO DE CAMPOS,MA,LUIS FERNANDO SILVA DOS SANTOS,LUIS FERNANDO,DEM,DEM,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
10/12/2021,153173152532021NE652659,0001 - NACIONAL,Empenho,Não se aplica,06.377.063/0001-48 - MUNICIPIO DE GRAJAU,MA,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"250.000,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,06377063000148,MUNICIPIO DE GRAJAU,793.0,GRAJAU,MA,GRAJAU,MA,2104800.0,7935,GRAJAÚ,MA,MERCIAL LIMA DE ARRUDA,MERCIAL ARRUDA,MDB,MDB / PODE / PSD / PSL / PT / PSDB,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO COM RECURSO,DEFERIDO COM RECURSO
10/12/2021,153173152532021NE652668,0001 - NACIONAL,Empenho,Não se aplica,06.202.808/0001-38 - MUNICIPIO DE POCAO DE PEDRAS,MA,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"230.000,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,06202808000138,MUNICIPIO DE POCAO DE PEDRAS,875.0,POCAO DE PEDRAS,MA,POCAO DE PEDRAS,MA,2108900.0,8753,POÇÃO DE PEDRAS,MA,FRANCISCO DE ASSIS LIMA PINHEIRO,FRANCISCO PINHEIRO,PDT,DEM / PDT,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
10/12/2021,153173152532021NE652671,0001 - NACIONAL,Empenho,Não se aplica,24.179.426/0001-12 - MUNICIPIO DE LAMIM,MG,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"200.000,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,24179426000112,MUNICIPIO DE LAMIM,4757.0,LAMIM,MG,LAMIM,MG,3137908.0,47570,,,,,,,,,,,
10/12/2021,153173152532021NE652672,0001 - NACIONAL,Empenho,Não se aplica,16.930.299/0001-13 - MUNICIPIO DE JOAO PINHEIRO,MG,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"244.000,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,16930299000113,MUNICIPIO DE JOAO PINHEIRO,4725.0,JOAO PINHEIRO,MG,JOAO PINHEIRO,MG,3136306.0,47252,JOÃO PINHEIRO,MG,EDMAR XAVIER MACIEL,EDINHO,PDT,PDT / PP / PL / PTC / AVANTE / SOLIDARIEDADE / MDB / DEM / PATRIOTA / PROS,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
10/12/2021,153173152532021NE652678,0001 - NACIONAL,Empenho,Não se aplica,13.922.588/0001-82 - MUNICIPIO DE IBICOARA,BA,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"250.250,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,13922588000182,MUNICIPIO DE IBICOARA,3543.0,IBICOARA,BA,IBICOARA,BA,2912202.0,35432,IBICOARA,BA,GILMADSON CRUZ DE MELO,GIL,PSC,PP / PSC,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
10/12/2021,153173152532021NE652698,0001 - NACIONAL,Empenho,Não se aplica,66.229.717/0001-18 - MUNICIPIO DE UBAPORANGA,MG,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"200.000,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,66229717000118,MUNICIPIO DE UBAPORANGA,2671.0,UBAPORANGA,MG,UBAPORANGA,MG,3170057.0,40860,UBAPORANGA,MG,GLEYDSON DELFINO FERREIRA,DR GLEYDSON,PSD,PSD / PSC,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
10/12/2021,153173152532021NE652699,0001 - NACIONAL,Empenho,Não se aplica,00.179.531/0001-93 - MUNICIPIO DE VERA,MT,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,Fundo Nacional de Desenvolvimento da Educação,Ministério da Educação,"875.423,70",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA - DESPESAS DIVERSAS,8100 - RELATOR GERAL,,00179531000193,MUNICIPIO DE VERA,9905.0,VERA,MT,VERA,MT,5108501.0,98973,VERA,MT,MOACIR LUIZ GIACOMELLI,MOACIR GIACOMELLI,PODE,PODE / PDT / PL / DEM / PATRIOTA / PSD / SOLIDARIEDADE,ELEIÇÃO ORDINÁRIA,2020-11-15,APTO,DEFERIDO,DEFERIDO
