DATA,DOCUMENTO,LOCALIZADOR DO GASTO,FASE,ESPÉCIE,Favorecido,UF DO FAVORECIDO,UG,Unidade Orcamentária,Órgão,Órgão Superior,VALOR,Grupo de Despesa,Elemento de Despesa,Modalidade de Despesa,Plano Orçamentário,Autor Emenda,Unnamed: 17
03/12/2021,175004000012021NS027360,0001 - NACIONAL,Liquidação,Não se aplica,18.160.044/0001-44 - MUNICIPIO DE ROMARIA,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
03/12/2021,175004000012021NS027364,0001 - NACIONAL,Liquidação,Não se aplica,01.612.395/0001-46 - MUNICIPIO DE ITAJA,RN,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
03/12/2021,175004000012021NS027368,0001 - NACIONAL,Liquidação,Não se aplica,23.245.806/0001-45 - MUNICIPIO DE PASSA QUATRO,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
06/12/2021,175004000012021OB806069,0001 - NACIONAL,Pagamento,Original,18.160.044/0001-44 - MUNICIPIO DE ROMARIA,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"481.104,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
06/12/2021,175004000012021OB806073,0001 - NACIONAL,Pagamento,Original,01.612.395/0001-46 - MUNICIPIO DE ITAJA,RN,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"382.471,20",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
06/12/2021,175004000012021OB806077,0001 - NACIONAL,Pagamento,Original,23.245.806/0001-45 - MUNICIPIO DE PASSA QUATRO,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"250.000,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
13/12/2021,175004000012021NS028216,0001 - NACIONAL,Liquidação,Não se aplica,17.695.032/0001-51 - MUNICIPIO DE FELIXLANDIA,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
14/12/2021,175004000012021OB806313,0001 - NACIONAL,Pagamento,Original,17.695.032/0001-51 - MUNICIPIO DE FELIXLANDIA,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"287.306,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
16/12/2021,175004000012021NS028706,0001 - NACIONAL,Liquidação,Não se aplica,23.245.806/0001-45 - MUNICIPIO DE PASSA QUATRO,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
17/12/2021,175004000012021OB806444,0001 - NACIONAL,Pagamento,Original,23.245.806/0001-45 - MUNICIPIO DE PASSA QUATRO,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"180.148,85",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
21/12/2021,175004000012021NS029088,0001 - NACIONAL,Liquidação,Não se aplica,17.694.860/0001-75 - MUNICIPIO DE INIMUTABA,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
21/12/2021,175004000012021NS029094,0001 - NACIONAL,Liquidação,Não se aplica,07.568.231/0001-45 - MUNICIPIO DE AIUABA,CE,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
21/12/2021,175004000012021NS029097,0001 - NACIONAL,Liquidação,Não se aplica,08.096.570/0001-39 - MUNICIPIO DE CAICO,RN,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
21/12/2021,175004000012021NS029099,0001 - NACIONAL,Liquidação,Não se aplica,16.930.299/0001-13 - MUNICIPIO DE JOAO PINHEIRO,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
22/12/2021,175004000012021NS029292,0001 - NACIONAL,Liquidação,Não se aplica,01.613.770/0001-72 - MUNICIPIO DE IMBAU,PR,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
22/12/2021,175004000012021OB806534,0001 - NACIONAL,Pagamento,Original,17.694.860/0001-75 - MUNICIPIO DE INIMUTABA,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"238.856,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
22/12/2021,175004000012021OB806536,0001 - NACIONAL,Pagamento,Original,07.568.231/0001-45 - MUNICIPIO DE AIUABA,CE,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"960.019,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
22/12/2021,175004000012021OB806538,0001 - NACIONAL,Pagamento,Original,08.096.570/0001-39 - MUNICIPIO DE CAICO,RN,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"804.240,28",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
22/12/2021,175004000012021OB806539,0001 - NACIONAL,Pagamento,Original,16.930.299/0001-13 - MUNICIPIO DE JOAO PINHEIRO,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"367.494,24",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
22/12/2021,175004000012021OB806541,0001 - NACIONAL,Pagamento,Original,08.096.570/0001-39 - MUNICIPIO DE CAICO,RN,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"602.042,17",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
23/12/2021,175004000012021OB806574,0001 - NACIONAL,Pagamento,Original,01.613.770/0001-72 - MUNICIPIO DE IMBAU,PR,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"960.019,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
24/12/2021,175004000012021NS029461,0001 - NACIONAL,Liquidação,Não se aplica,07.551.179/0001-14 - MUNICIPIO DE QUITERIANOPOLIS,CE,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
27/12/2021,175004000012021OB806598,0001 - NACIONAL,Pagamento,Original,07.551.179/0001-14 - MUNICIPIO DE QUITERIANOPOLIS,CE,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"600.000,00",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
28/12/2021,175004000012021NS029863,0001 - NACIONAL,Liquidação,Não se aplica,44.935.278/0001-26 - MUNICIPIO DE RANCHARIA,SP,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
29/12/2021,175004000012021OB806712,0001 - NACIONAL,Pagamento,Original,44.935.278/0001-26 - MUNICIPIO DE RANCHARIA,SP,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,"224.772,13",4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
31/12/2021,175004000012021NS030808,0001 - NACIONAL,Liquidação,Não se aplica,01.613.770/0001-72 - MUNICIPIO DE IMBAU,PR,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,RO00 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS - REGRA DE OURO,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027196,0001 - NACIONAL,Liquidação,Não se aplica,08.357.618/0001-15 - MUNICIPIO DE MARCELINO VIEIRA,RN,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027198,0001 - NACIONAL,Liquidação,Não se aplica,01.612.382/0001-77 - MUNICIPIO DE TENENTE LAURENTINO CRUZ,RN,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027200,0001 - NACIONAL,Liquidação,Não se aplica,01.612.544/0001-77 - MUNICIPIO DE CONCEICAO DO LAGO-ACU,MA,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027202,0001 - NACIONAL,Liquidação,Não se aplica,91.693.309/0001-60 - MUNICIPIO DE BROCHIER,RS,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027204,0001 - NACIONAL,Liquidação,Não se aplica,83.102.434/0001-20 - MUNICIPIO DE PRESIDENTE GETULIO,SC,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027206,0001 - NACIONAL,Liquidação,Não se aplica,87.455.531/0001-57 - MUNICIPIO DE PELOTAS,RS,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027208,0001 - NACIONAL,Liquidação,Não se aplica,18.675.975/0001-85 - MUNICIPIO DE CAMBUI,MG,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027210,0001 - NACIONAL,Liquidação,Não se aplica,45.353.299/0001-04 - MUNICIPIO DE GUARA,SP,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027212,0001 - NACIONAL,Liquidação,Não se aplica,87.613.048/0001-53 - MUNICIPIO DE GIRUA,RS,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
01/12/2021,175004000012021NS027214,0001 - NACIONAL,Liquidação,Não se aplica,45.345.899/0001-12 - MUNICIPIO DE MORRO AGUDO,SP,CAIXA ECONOMICA FEDERAL - PROGRAMAS SOCIAIS,MINISTERIO DO DESENVOLVIMENTO REGIONAL,Ministério do Desenvolvimento Regional - Unidades com vínculo direto,Ministério do Desenvolvimento Regional,-,4 - Investimentos,42 - Auxílios,40 - Transferências a Municípios,0000 - APOIO A POLITICA NACIONAL DE DESENVOLVIMENTO URBANO - DESPESAS DIVERSAS,8100 - RELATOR GERAL,
